TIME,A,Bb,B,C,C#,D,Eb,E,F,F#,G,Ab
1.904036281,0.158654,0.714904,1.72132,0.0531819,0.0826923,0.711151,0.147427,2.07995,0.0554978,0.0945189,0.163264,1.58114
1.950476190,0.00018659,0.554032,1.49932,0.102599,0.0814515,0.628267,0.00304837,2.35642,0,0.135239,0.554865,1.22276
1.996916100,0.535215,0.172827,0.900294,0.418315,0.522208,0.320951,0.0117799,1.63205,0.37416,0.436674,0.7916,1.22974
2.043356009,0.711627,0.348057,0.174722,0.512299,0.51384,0.251436,0.013636,0.88245,0.72246,0.868881,1.05617,1.07291
2.089795918,0.608822,0.554766,0.222702,0.498359,0.535785,0.182745,0,0.441992,0.821419,0.954898,1.3609,0.742456
2.136235828,0.563345,0.611651,0.225428,0.426829,0.476813,0.304189,0,0.300042,0.934246,1.00838,1.49108,0.520495
2.182675737,0.551115,0.449592,0.114257,0.464283,0.516067,0.455019,0,0.30053,1.0355,0.986612,1.47045,0.265094
2.229115646,0.576878,0.450032,0.373085,0.435947,0.473661,0.588256,0.00718749,0.604185,0.833251,0.766508,0.668972,0.940714
2.275555556,0.37334,0.842314,1.32414,0.555596,0.066892,0.667046,0.0112411,1.88964,0.252897,0.34209,0.712593,1.61048
2.321995465,0.165281,0.628797,1.60046,0.0578885,0.0729379,0.675176,0.0396897,2.28632,0.0571327,0.0725839,0.526303,1.48365
2.368435374,0,0.49296,1.33375,0.103872,0.0710778,0.676867,0.0297486,2.65211,0.0177559,0.108425,0.569681,1.10408
2.414875283,0.550212,0.07119,0.905919,0.27604,0.288686,0.306553,0,1.77165,0.365731,0.373263,0.892666,1.51694
2.461315193,0.737779,0.262045,0.367136,0.461559,0.379118,0.213676,0,0.858528,0.553051,0.620626,0.963638,1.60489
2.507755102,0.586595,0.37024,0.605579,0.440343,0.317334,0.294776,0,0.336087,0.816738,0.800824,1.05415,1.49886
2.554195011,0.545156,0.404465,0.622143,0.492815,0.247897,0.450609,0.0549456,0.296799,1.00663,0.850566,1.08305,1.32813
2.600634921,0.508641,0.507232,0.642425,0.493933,0.228643,0.457813,0.145498,0.250411,1.03525,0.838392,1.15227,1.19614
2.647074830,0.656549,0.79862,1.02682,0.38138,0.306671,0.771422,0.417631,0.781038,0.758161,0.628656,0.590497,1.07773
2.693514739,0.57283,0.884247,1.52421,0.502588,0.0980568,0.730203,0.209535,1.63363,0.22662,0.354887,0.387801,1.53063
2.739954649,0.159491,0.624913,1.80702,0.0538839,0.0811084,0.721321,0.180498,2.10415,0.0585831,0.0941805,0.129311,1.45715
2.786394558,0.000253247,0.520514,1.51644,0.0979785,0.0943938,0.583435,0,2.40467,0,0.133085,0.655692,1.11735
2.832834467,0.548209,0.119606,0.895909,0.449502,0.439494,0.30679,0,1.63352,0.367028,0.476344,0.852153,1.20325
2.879274376,0.697159,0.318014,0.218291,0.519273,0.468405,0.224237,0,0.872775,0.718631,0.885005,1.07798,1.00881
2.925714286,0.577465,0.47063,0.292243,0.518017,0.508985,0.211005,0,0.45435,0.839534,0.955939,1.33666,0.701632
2.972154195,0.536482,0.547647,0.285966,0.455155,0.440544,0.332946,0,0.362708,0.953302,0.990822,1.47765,0.478906
3.018594104,0.503627,0.405532,0.247549,0.472093,0.474856,0.505733,0,0.287482,1.07872,0.947157,1.46583,0.232813
3.065034014,0.531497,0.445287,0.613698,0.417877,0.45584,0.675805,0.00798549,0.692566,0.910189,0.611867,0.568986,1.03534
3.111473923,0.520575,0.742869,1.32493,0.524253,0.0743418,0.713213,0.128228,1.93307,0.243024,0.368353,0.531451,1.62763
3.157913832,0.0614823,0.569187,1.56295,0.0453287,0.0760097,0.716364,0.103923,2.49402,0.04237,0.100429,0.492095,1.50375
3.204353741,0.01204,0.366797,1.35539,0.0972457,0.0715944,0.614003,0.0165299,2.69954,0,0.189599,0.655395,1.15801
3.250793651,0.514909,0.069624,0.987373,0.436584,0.221359,0.232395,0,1.73102,0.38219,0.336645,0.906422,1.61019
3.297233560,0.705057,0.250486,0.392404,0.500296,0.362954,0.177854,0,0.850298,0.571356,0.608821,0.957962,1.67454
3.343673469,0.581782,0.357995,0.588907,0.46794,0.276114,0.306331,0,0.345879,0.822055,0.827335,1.03193,1.61332
3.390113379,0.549296,0.383973,0.603342,0.505663,0.238164,0.476369,0.0576051,0.3044,1.02432,0.874837,1.03906,1.4251
3.436553288,0.492296,0.500356,0.729856,0.492492,0.230069,0.524049,0.158882,0.232082,1.04991,0.8203,1.09506,1.2174
3.482993197,0.60282,0.827192,1.08065,0.399295,0.268955,0.905165,0.422304,0.713011,0.629802,0.605819,0.479712,1.25998
3.529433107,0.592347,0.871238,1.34288,0.493895,0.0816938,0.820902,0.205198,1.68289,0.151295,0.369297,0.378376,1.57408
3.575873016,0.0520729,0.716547,1.53888,0.0469298,0.0870363,0.692415,0.158153,2.29083,0.0244656,0.121714,0.202551,1.46507
3.622312925,0.000344653,0.538252,1.28722,0.0869741,0.0776375,0.61394,0,2.36578,0.0127739,0.149043,0.685276,1.24701
3.668752834,0.568802,0.194518,0.884673,0.502402,0.451412,0.338603,0.0151402,1.53376,0.377054,0.506884,0.792587,1.2051
3.715192744,0.644041,0.365655,0.250312,0.582113,0.437863,0.258119,0.0204859,0.859732,0.689424,0.838568,1.05107,1.00187
3.761632653,0.549787,0.519134,0.318705,0.62817,0.470355,0.275486,0.00559536,0.435071,0.799806,0.904176,1.3195,0.687309
3.808072562,0.507055,0.600759,0.305604,0.521639,0.459051,0.404986,0,0.357138,0.860884,0.957402,1.47974,0.441227
3.854512472,0.498216,0.425405,0.27271,0.520133,0.481605,0.563955,0.0146554,0.283086,0.986045,0.949463,1.4571,0.213936
3.900952381,0.528842,0.480177,0.702236,0.449613,0.404428,0.610668,0.00759563,0.809964,0.868539,0.567406,0.618479,1.14658
3.947392290,0.51206,0.799185,1.28888,0.585917,0.0549898,0.723106,0.0999293,1.94198,0.226975,0.336779,0.441934,1.635
3.993832200,0.0865297,0.595725,1.62229,0.0753601,0.0583483,0.683379,0.0437129,2.31786,0.0389245,0.100517,0.274357,1.54234
4.040272109,0.00024002,0.453636,1.38204,0.0991722,0.055627,0.557683,0,2.6172,0.0030705,0.140565,0.548977,1.26461
4.086712018,0.496938,0.0649173,0.997411,0.338699,0.194719,0.265316,0,1.67696,0.435497,0.377299,0.853604,1.68024
4.133151927,0.695904,0.274036,0.452726,0.473583,0.454235,0.234927,0,0.774202,0.591673,0.62346,0.911822,1.67957
4.179591837,0.598198,0.351905,0.655299,0.487695,0.34682,0.315357,0,0.339863,0.834223,0.831647,0.975073,1.60609
